날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2024-05-07,108,13.3,12.2,15
2024-05-08,108,14.7,9,21.4
2024-05-09,108,16.1,10.9,21.8
2024-05-10,108,17.9,12.5,23.8
2024-05-11,108,17,14,22
2024-05-12,108,16.6,11.9,21.6
2024-05-13,108,18.3,11.9,24.5
2024-05-14,108,18.8,12.7,24.7
2024-05-15,108,12.6,7.2,18.8
2024-05-16,108,13.7,6.9,19.8
2024-05-17,108,18.3,10.8,24.9
2024-05-18,108,20.7,16,26.5
2024-05-19,108,21.5,15.9,27.9
2024-05-20,108,19.4,16.8,22.8
2024-05-21,108,21.7,16.3,28.3
2024-05-22,108,20.5,16.4,25.5
2024-05-23,108,20.2,15.8,26.4
2024-05-24,108,20.1,15.7,24.7
2024-05-25,108,21.4,18.7,24.7
2024-05-26,108,19.9,17,23.7
2024-05-27,108,18.5,14.1,22.6
2024-05-28,108,20.4,14.3,26.1
2024-05-29,108,21.2,15.4,26.8
2024-05-30,108,20.7,16.2,24.6
2024-05-31,108,20.4,16.9,25.4
2024-06-01,108,20.7,17.5,25.2
2024-06-02,108,20.4,15.7,25.8
2024-06-03,108,22.2,15.7,28.7
2024-06-04,108,22.8,16.3,29.3
2024-06-05,108,23.6,18.1,30.1
	

